,RT_high,RT_high_1,RT_low,RT_no,ACC_high,ACC_high_1,ACC_low,ACC_no,prolific_participant_id,
32,984.4,976.8953488,945.025974,810.7413793,1,0.977777778,0.9875,0.983333333,60fec5dbe398075bf25e95a6,1
18,843.3,864.1860465,925.5657895,801.2678571,1,0.988888889,0.975,0.983333333,60fed0f8f0e650c3f83c91a3,
37,1010.777778,1001.378049,1018.197368,887.4137931,1,0.933333333,0.975,1,610c049b89dac6a90e0d072a,
24,981.3,1059.253165,1106.534247,908.0192308,1,0.911111111,0.9625,0.916666667,6110d75f4cfd0b62e7d2e13c,
55,931.7777778,875.4556962,883.6521739,929.0740741,0.9,0.9,0.9125,0.95,6113d593b51f3ba3ecc07a76,1
58,722.1,816.1309524,738.4133333,684.122807,1,0.966666667,0.9625,0.983333333,61154c699e17bf9531221d9f,
44,667.1111111,719.1477273,713.84,665.2105263,1,1,0.975,0.983333333,6116241c13cf4797256b813c,
26,824.5555556,821.2987013,760.5694444,771.2727273,1,0.877777778,0.9375,0.933333333,6124bc2ab4a7042465e1f558,
27,818.7777778,734.775,780.7142857,686.6851852,0.9,0.911111111,0.8875,0.933333333,612505db1b9ee34d76686d2b,
31,795.1428571,819.4534884,818.9090909,783.5689655,0.7,0.966666667,1,0.983333333,6126283722c87c2d9e10f679,
42,1079.2,939.7710843,949.3733333,783.6666667,1,0.955555556,0.9625,0.95,612ebddc643b39a4342de819,
45,663.875,690.1463415,761.7466667,680.9285714,0.8,0.933333333,0.9625,0.966666667,61327318da83edb47b6f9525,
12,1007.8,884.9634146,927.2535211,860.4385965,1,0.933333333,0.9375,1,613a37819b27acb95e432628,
48,827.1111111,843.8684211,882.7230769,834.92,0.9,0.855555556,0.8375,0.85,613a9700bf01a93d7008c3f7,1
1,852.2222222,849.2285714,887.9032258,835.3673469,0.9,0.822222222,0.8,0.85,613ad2dca28edcb436ce5731,
47,1136.1,1175.011494,1106.986667,1023.965517,1,0.977777778,0.9625,0.983333333,613b10510ef09634590eada2,
41,905,806.5952381,927.4025974,795.4821429,0.8,0.966666667,1,0.966666667,6140bea1dc1179e374160d83,1
51,754,773.7228916,782.0140845,698.0181818,1,0.944444444,0.9375,0.966666667,6141d61c189d7b0ffbc6477a,1
0,810.5555556,701.6097561,735.9459459,676.8392857,0.9,0.933333333,0.9375,0.95,22821,
1,751,728.3837209,765.5138889,682.9818182,1,0.966666667,0.925,0.95,22621,
