,RT_high,RT_high_1,RT_low,RT_no,ACC_high,ACC_high_1,ACC_low,ACC_no,prolific_participant_id,
23,922,819.8850575,841.6388889,732.1052632,0.9,0.988888889,0.9375,0.966666667,591d739a40c1b400019a2905,
39,1051,861.7560976,816.027027,828.3269231,1,0.933333333,0.95,0.9,59d5888d21977e0001d630f3,1
43,776.375,677.304878,691.6111111,654.6206897,0.8,0.933333333,0.925,0.983333333,59d793bbcfaf74000161143e,
28,716,678.1309524,680.7763158,639.9322034,1,0.955555556,0.9875,1,5e2720de173db496168318c6,1
22,699,724.0506329,750.3333333,694.6470588,0.9,0.922222222,0.8875,0.883333333,5ed8e10d54fe053fbc756c72,
30,810.4444444,885.7857143,911.8133333,784.1578947,1,0.977777778,0.975,1,5f6280e896ef951aca58fdc3,
8,856,809.1609195,835.2133333,781.6111111,1,0.988888889,0.9625,0.933333333,5f8739ae0483431242e11d41,
13,783.3,814.7764706,833.1410256,749.125,1,0.977777778,1,0.966666667,5fbc1367373b9307763985c0,1
34,907.6666667,961.2954545,967.4935065,878.4237288,1,1,1,1,5fd96b1bcffb0b4807be2ed6,1
49,1048.1,1043.035714,1039.8,919.6851852,1,0.966666667,0.95,0.95,5ff1be724cfb7d137e366235,
4,841.9,769.8705882,796.8846154,748.6491228,1,0.988888889,0.9875,0.983333333,60087f89ba0c184c6d305af9,
19,831.1,788.2298851,816.9605263,741.362069,1,1,0.975,1,6039301619f2633730d2a3a5,
14,830.5,747.6436782,762.6756757,713.0862069,1,0.977777778,0.9625,0.983333333,605732e50afa43bd03cbf035,
54,848.3333333,840.0853659,849.2,768.5535714,0.9,0.922222222,0.95,0.966666667,608c7fe82e077d3c9c96ccf1,
0,855.1111111,833.9146341,928.1830986,814.6491228,0.9,0.944444444,0.9125,0.966666667,60b70dafdb9c3619626ba7a1,
36,1257.3,1056.3125,1057.584615,962.1132075,1,0.911111111,0.8375,0.916666667,60b8db5feb283b86cce8de9f,
16,784.9,712.6091954,792.7692308,682.1551724,1,1,1,1,60bd004a31845ac6e7e2c9db,
9,1221,1182.949367,1214,1104.892857,1,0.888888889,0.875,0.95,60c4f5dba71deb4261ea8e39,1
52,1006.1,880.7325581,983.2631579,846.8301887,1,0.977777778,0.975,0.9,60d64a858ac8cd7015ae3492,1
7,1430,1293.942529,1314.693333,1212.017544,1,0.988888889,0.9625,1,60e0773fd354bb0e662b6771,1
5,817.5555556,784.8045977,774.08,728.6964286,0.9,1,0.975,0.966666667,60ebbdd7a4f2acdb9a9769e5,
2,802.6,859.4691358,902,759.5714286,1,0.933333333,0.95,0.966666667,60f2251cc696183c77b7aa05,
35,973.3333333,894.060241,947.6338028,803.4642857,0.9,0.944444444,0.9125,0.95,60f2d82a20a376f39feb6912,
40,970.6,861.202381,976.7922078,857.1864407,1,0.977777778,0.9875,1,60f78076ce7f33511c38ebf3,
38,1047.1,962,1020.933333,917.1525424,1,0.977777778,0.975,1,60fc5c6a4269d6b01f8744d3,
10,1168.8,984.4767442,898.2162162,966.6491228,1,0.977777778,0.95,0.966666667,60fc717746b9c8d275ebcce7,
11,928.25,890.2682927,908.5294118,802.8035714,0.8,0.933333333,0.875,0.966666667,60fc7e0418744056f207c3ca,
6,983.3333333,993.6117647,1026.708861,951.3793103,1,0.977777778,1,1,60fcda61bb9779ae53d24fe4,1
29,1218.777778,1094.554217,1160.302632,990,0.9,0.955555556,0.975,1,60fce012fb6afc3c874918ec,1
20,839.2,774.3414634,798.6986301,735.8909091,1,0.966666667,0.9375,0.966666667,60fce0bef64ee00be89e5d0c,
53,1062.8,909.1341463,926.6266667,853.9473684,1,0.933333333,0.95,0.966666667,60fce920666181be9735cd49,
3,759.8888889,811.3023256,762.027027,681,1,0.977777778,0.95,1,60fcf2d9220a47c4c72bce7d,
57,925.6,798.9310345,789.0666667,742.9830508,1,0.988888889,0.95,1,60fd043aee7fe3166c9490d3,
25,795.9,811.7142857,871.4177215,848.6842105,1,0.977777778,1,0.983333333,60fd1ff675f39e778dc37e73,
59,846.9,815.9285714,857.8831169,736.5438596,1,0.966666667,0.9875,0.983333333,60fd201eafb410f32682489c,1
21,706.2,672.5853659,678.2054795,597.9464286,1,0.933333333,0.95,0.966666667,60fd276afbe1c81b14fd3611,1
46,731.4285714,618.7142857,658.4354839,604.2280702,0.7,0.888888889,0.8125,0.983333333,60fd55f559e7795b518f7438,
33,675.8,718.4096386,705.4285714,673.0169492,1,0.955555556,0.975,1,60fdf254d7cf63001528e2a9,
50,689,713.4252874,738.2564103,697.0338983,1,1,0.9875,1,60fe18baa4c353a8adaa9bcb,
17,1245.5,988.1807229,951.6478873,850.4545455,0.8,0.944444444,0.925,0.966666667,60febc18cd038bc135043084,
